Season,Team,PTS,OPP_PTS,ORtg,DRtg,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,DRB%,Opp FT/FGA
1984,Denver Nuggets,123.7,124.8,111.3,112.3,0.553,0.498,12.8,29.3,0.276,0.522,14.6,66.6,0.277
1984,Detroit Pistons,117.1,113.5,111.5,108.1,0.532,0.482,12.7,36.7,0.25,0.5,14.8,67.7,0.263
1984,Los Angeles Lakers,115.6,111.8,110.9,107.3,0.574,0.536,16.1,33.7,0.236,0.487,14.3,66.6,0.232
1984,Utah Jazz,115.0,113.8,109.0,108.0,0.559,0.505,15.2,30.8,0.292,0.479,13.9,63.4,0.229
1984,Portland Trail Blazers,113.1,109.6,111.2,107.7,0.556,0.507,15.1,36.4,0.277,0.518,17.0,67.4,0.259
1984,Boston Celtics,112.1,105.6,110.9,104.4,0.554,0.504,14.6,34.2,0.264,0.475,13.8,69.7,0.225
1984,Phoenix Suns,111.0,110.1,108.9,108.0,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277
1984,Dallas Mavericks,110.4,110.0,110.0,109.6,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232
1984,Kansas City Kings,110.0,111.5,106.5,108.0,0.542,0.49,15.3,32.4,0.268,0.505,16.1,66.9,0.266
1984,New Jersey Nets,110.0,108.9,106.1,105.0,0.54,0.501,16.1,34.6,0.24,0.494,17.0,67.8,0.292
1984,Seattle SuperSonics,108.1,108.3,107.9,108.1,0.543,0.49,14.3,30.7,0.271,0.492,13.8,66.6,0.226
1984,Philadelphia 76ers,107.8,105.6,106.8,104.6,0.551,0.497,16.9,34.6,0.299,0.484,16.0,65.9,0.246
1984,New York Knicks,106.9,103.0,107.0,103.1,0.552,0.499,16.7,33.4,0.284,0.491,17.8,68.1,0.281
1984,Milwaukee Bucks,105.7,101.5,107.8,103.6,0.541,0.497,15.0,33.7,0.25,0.459,14.7,65.6,0.266
1984,Washington Bullets,102.7,105.6,104.2,107.2,0.535,0.489,15.5,30.1,0.241,0.492,13.7,69.7,0.239
1984,Atlanta Hawks,101.5,102.8,105.5,106.9,0.529,0.476,14.4,31.6,0.27,0.482,15.1,65.2,0.268
1985,Denver Nuggets,120.0,117.6,110.7,108.4,0.54,0.491,13.2,33.6,0.253,0.516,17.0,66.1,0.275
1985,Los Angeles Lakers,118.2,110.9,114.1,107.0,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22
1985,Detroit Pistons,116.0,113.5,109.6,107.2,0.529,0.483,13.0,35.4,0.223,0.501,14.9,69.6,0.245
1985,Portland Trail Blazers,115.5,112.1,110.4,107.1,0.554,0.506,14.8,33.9,0.271,0.497,15.9,64.5,0.232
1985,Boston Celtics,114.8,108.1,112.8,106.3,0.564,0.515,13.8,32.8,0.254,0.481,12.6,70.4,0.198
1985,San Antonio Spurs,114.8,113.9,109.9,109.0,0.565,0.517,15.6,33.2,0.272,0.501,15.0,68.5,0.269
1985,Philadelphia 76ers,112.9,108.8,111.3,107.3,0.561,0.497,16.0,37.4,0.331,0.494,15.7,66.6,0.259
1985,Houston Rockets,111.2,109.5,107.9,106.3,0.54,0.507,16.0,37.4,0.213,0.487,15.2,67.4,0.259
1985,Dallas Mavericks,111.2,109.0,111.5,109.3,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221
1985,Milwaukee Bucks,110.9,104.0,110.5,103.6,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29
1985,New Jersey Nets,109.5,109.2,107.9,107.7,0.532,0.493,13.8,33.9,0.219,0.505,15.6,68.2,0.263
1985,Utah Jazz,109.0,109.1,103.3,103.4,0.534,0.483,15.8,29.0,0.257,0.469,15.7,65.3,0.238
1985,Chicago Bulls,108.7,109.6,108.7,109.6,0.556,0.502,15.4,32.2,0.287,0.495,13.8,67.5,0.257
1985,Cleveland Cavaliers,108.6,111.3,106.0,108.7,0.526,0.478,14.1,32.9,0.254,0.483,13.7,66.9,0.265
1985,Phoenix Suns,108.0,110.1,104.7,106.8,0.544,0.497,16.3,29.8,0.246,0.498,15.0,68.3,0.24
1985,Washington Bullets,105.5,105.8,104.3,104.6,0.524,0.486,13.4,27.5,0.2,0.491,15.3,68.2,0.226
1986,Los Angeles Lakers,117.3,109.5,113.3,105.8,0.575,0.532,14.9,33.1,0.247,0.484,13.5,69.8,0.239
1986,Dallas Mavericks,115.3,114.2,112.1,111.0,0.562,0.51,13.3,30.0,0.283,0.508,13.0,66.8,0.201
1986,Portland Trail Blazers,115.1,114.0,109.2,108.2,0.554,0.501,15.2,32.8,0.294,0.507,16.4,66.3,0.275
1986,Denver Nuggets,114.8,113.5,107.1,105.9,0.527,0.475,13.0,30.9,0.245,0.495,16.9,64.1,0.266
1986,Milwaukee Bucks,114.5,105.5,111.4,102.7,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281
1986,Houston Rockets,114.4,111.8,110.1,107.6,0.536,0.496,13.6,35.5,0.232,0.497,14.8,67.2,0.243
1986,Detroit Pistons,114.2,113.0,109.0,107.9,0.534,0.488,13.3,33.5,0.232,0.496,14.9,67.6,0.266
1986,Boston Celtics,114.1,104.7,111.8,102.6,0.564,0.518,14.1,31.3,0.244,0.466,13.0,71.7,0.216
1986,San Antonio Spurs,111.2,113.1,106.5,108.2,0.555,0.509,16.5,31.7,0.265,0.499,15.2,67.6,0.26
1986,Philadelphia 76ers,110.4,108.0,108.6,106.3,0.546,0.49,16.1,37.3,0.302,0.499,15.6,66.7,0.211
1986,Chicago Bulls,109.3,113.1,108.6,112.4,0.538,0.487,14.7,35.1,0.266,0.509,13.5,67.4,0.28
1986,New Jersey Nets,109.1,111.1,105.0,106.9,0.536,0.489,15.9,33.3,0.248,0.499,15.5,70.6,0.282
1986,Sacramento Kings,108.8,111.9,106.2,109.2,0.541,0.492,15.7,32.7,0.252,0.499,14.4,67.5,0.273
1986,Atlanta Hawks,108.6,106.2,107.9,105.6,0.542,0.493,15.3,34.9,0.282,0.481,15.4,66.7,0.269
1986,Utah Jazz,108.2,108.5,104.2,104.6,0.536,0.49,15.5,29.8,0.272,0.477,15.4,67.2,0.258
1986,Washington Bullets,103.0,104.8,103.0,104.8,0.518,0.471,14.2,29.1,0.238,0.472,14.2,66.1,0.224
1987,Portland Trail Blazers,117.9,114.8,111.5,108.6,0.566,0.51,15.3,34.1,0.313,0.493,14.8,66.6,0.265
1987,Los Angeles Lakers,117.8,108.5,115.6,106.5,0.577,0.528,14.0,34.1,0.278,0.476,13.8,66.3,0.23
1987,Dallas Mavericks,116.7,110.4,114.9,108.7,0.558,0.503,12.3,33.8,0.291,0.486,13.5,66.5,0.233
1987,Denver Nuggets,116.7,117.6,109.3,110.2,0.527,0.478,11.8,32.2,0.248,0.503,15.4,67.0,0.307
1987,Seattle SuperSonics,113.7,113.3,110.7,110.3,0.543,0.495,15.0,37.6,0.261,0.486,13.5,66.0,0.296
1987,Boston Celtics,112.6,106.0,113.5,106.8,0.577,0.532,14.0,29.0,0.247,0.471,12.0,67.6,0.217
1987,Golden State Warriors,112.0,114.4,108.9,111.2,0.539,0.487,13.7,32.5,0.266,0.503,14.2,65.3,0.272
1987,Detroit Pistons,111.2,107.8,109.2,105.8,0.544,0.492,14.5,34.7,0.275,0.471,13.3,69.9,0.267
1987,Milwaukee Bucks,110.4,106.5,109.5,105.6,0.539,0.487,13.0,31.1,0.268,0.479,16.0,66.1,0.307
1987,Atlanta Hawks,110.0,102.8,112.6,105.2,0.543,0.49,13.3,37.2,0.283,0.46,13.9,67.4,0.284
1987,Utah Jazz,107.9,107.5,104.1,103.7,0.516,0.473,14.1,31.2,0.231,0.466,15.7,65.2,0.269
1987,Houston Rockets,106.9,105.9,106.5,105.5,0.528,0.483,14.3,33.5,0.24,0.47,14.1,68.0,0.261
1987,Philadelphia 76ers,106.5,106.6,108.3,108.5,0.549,0.497,16.1,34.9,0.29,0.499,14.5,65.7,0.215
1987,Indiana Pacers,106.1,106.7,106.0,106.6,0.525,0.478,13.4,30.5,0.232,0.487,14.9,68.8,0.281
1987,Washington Bullets,106.0,107.3,105.7,107.0,0.511,0.457,13.3,34.5,0.262,0.48,14.6,63.4,0.222
1987,Chicago Bulls,104.8,103.9,108.6,107.6,0.528,0.478,13.4,35.0,0.245,0.491,13.8,70.0,0.251
1988,Denver Nuggets,116.7,112.7,110.1,106.3,0.534,0.486,11.7,29.7,0.231,0.498,16.0,67.4,0.26
1988,Portland Trail Blazers,116.1,111.5,111.8,107.4,0.55,0.499,13.5,34.3,0.279,0.485,14.5,68.4,0.275
1988,Boston Celtics,113.6,107.7,115.4,109.4,0.588,0.541,14.1,29.8,0.267,0.489,12.5,68.5,0.237
