Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion
1984,BOS,NYK,7,111.0,103.0,113.9,105.7,0.498,0.484,14.2,16.0,38.7,35.0,0.285,0.296,True
1984,MIL,NJN,6,98.2,96.3,102.8,100.9,0.471,0.405,18.3,12.2,32.6,35.5,0.373,0.34,False
1984,LAL,DAL,5,120.6,106.2,121.9,107.4,0.57,0.454,12.8,11.9,37.8,35.1,0.2,0.232,False
1984,PHO,UTA,6,103.7,101.0,107.0,104.3,0.462,0.468,12.9,15.3,33.9,32.4,0.23,0.3,False
1985,BOS,DET,6,120.5,112.7,118.1,110.4,0.519,0.478,13.6,11.4,37.1,35.7,0.302,0.196,False
1985,PHI,MIL,4,117.3,107.3,115.7,105.8,0.521,0.497,14.0,17.7,35.9,35.3,0.29,0.26,False
1985,DEN,UTA,5,125.0,117.8,113.2,106.7,0.504,0.49,13.7,14.2,36.2,26.9,0.249,0.314,False
1985,LAL,POR,5,127.0,116.0,117.9,107.7,0.53,0.46,14.5,12.9,39.2,34.8,0.342,0.266,True
1986,BOS,ATL,5,111.8,102.2,114.2,104.4,0.524,0.483,12.1,13.4,29.9,29.4,0.251,0.206,True
1986,MIL,PHI,7,111.0,111.7,111.2,112.0,0.526,0.5,15.3,14.9,33.5,34.8,0.275,0.387,False
1986,HOU,DEN,6,121.3,112.5,113.2,104.9,0.495,0.456,12.4,11.4,37.1,29.6,0.24,0.241,False
1986,LAL,DAL,6,118.2,113.2,119.7,114.6,0.547,0.519,11.0,11.3,31.7,31.1,0.216,0.22,False
1987,BOS,MIL,7,121.4,121.1,117.3,117.0,0.523,0.489,12.6,9.5,33.1,27.4,0.328,0.32,False
1987,DET,ATL,5,103.0,101.8,113.1,111.8,0.457,0.473,13.3,13.7,38.9,39.9,0.361,0.298,False
1987,LAL,GSW,5,122.6,112.0,121.7,111.2,0.559,0.486,16.1,11.1,41.9,33.1,0.349,0.196,True
1987,SEA,HOU,6,107.7,107.3,108.5,108.1,0.458,0.485,10.6,15.5,35.2,33.2,0.218,0.334,False
1988,BOS,ATL,7,106.1,107.7,114.8,116.5,0.533,0.501,14.9,9.7,30.4,31.5,0.328,0.236,False
1988,DET,CHI,5,97.4,87.6,105.1,94.5,0.444,0.447,11.8,16.2,34.2,26.8,0.235,0.206,False
1988,DAL,DEN,6,112.3,107.5,113.9,109.0,0.512,0.467,13.9,9.5,35.0,32.1,0.293,0.176,False
1988,LAL,UTA,7,101.3,100.4,111.1,110.2,0.491,0.483,12.7,12.7,37.9,29.9,0.214,0.262,True
1989,CHI,NYK,6,110.2,106.0,115.8,111.4,0.534,0.502,15.0,14.3,34.1,34.5,0.319,0.258,False
1989,DET,MIL,4,100.8,89.0,119.7,105.7,0.513,0.455,10.9,9.1,35.9,23.1,0.278,0.264,True
1989,LAL,SEA,4,107.8,97.8,117.0,106.2,0.494,0.453,13.5,12.8,37.5,40.3,0.408,0.187,False
1989,PHO,GSW,5,123.2,107.4,117.8,102.7,0.491,0.446,13.2,12.5,44.0,30.1,0.248,0.219,False
1990,CHI,PHI,5,107.4,99.8,116.7,108.4,0.53,0.503,11.2,15.7,32.0,30.4,0.219,0.311,False
1990,DET,NYK,5,103.2,91.8,114.5,101.9,0.52,0.452,12.3,13.1,33.7,29.4,0.185,0.255,True
1990,PHO,LAL,5,108.2,106.6,113.6,111.9,0.495,0.481,12.2,13.3,33.2,34.3,0.307,0.292,False
1990,POR,SAS,7,110.7,113.0,107.2,109.4,0.462,0.495,14.5,13.7,35.1,36.2,0.35,0.213,False
1991,CHI,PHI,5,103.0,94.2,118.9,108.7,0.523,0.473,9.3,12.1,34.4,25.9,0.178,0.342,True
1991,DET,BOS,6,101.5,103.3,110.8,112.8,0.436,0.486,6.9,9.3,34.9,26.7,0.256,0.278,False
1991,LAL,GSW,5,122.4,115.8,120.7,114.2,0.533,0.526,12.2,9.9,34.6,21.3,0.368,0.238,False
1991,POR,UTA,5,108.6,103.4,114.9,109.4,0.487,0.456,11.3,11.4,30.9,29.2,0.341,0.339,False
1992,CHI,NYK,7,92.4,88.6,111.2,106.5,0.485,0.465,11.5,13.3,31.1,36.3,0.283,0.259,True
1992,CLE,BOS,7,106.7,103.7,117.2,113.9,0.535,0.509,11.3,10.3,26.6,30.9,0.271,0.166,False
1992,POR,PHO,5,125.4,122.2,117.5,114.5,0.52,0.497,12.0,12.2,33.6,28.1,0.327,0.344,False
1992,UTA,SEA,5,101.8,96.8,117.1,111.4,0.503,0.496,12.4,13.5,32.9,32.5,0.334,0.255,False
1993,CHI,CLE,4,98.5,90.0,116.4,106.4,0.513,0.497,10.5,14.4,35.1,27.7,0.21,0.219,True
1993,NYK,CHH,5,104.2,99.8,104.9,100.5,0.48,0.452,16.1,15.1,35.7,33.5,0.214,0.238,False
1993,PHO,SAS,6,102.8,102.8,109.9,109.9,0.494,0.497,11.3,11.9,22.6,31.8,0.303,0.22,False
1993,SEA,HOU,7,99.1,98.3,111.0,110.0,0.474,0.521,11.6,16.0,37.6,31.7,0.196,0.227,False
1994,IND,ATL,6,90.3,85.2,104.1,98.1,0.48,0.439,17.1,13.5,37.1,31.0,0.233,0.206,False
1994,NYK,CHI,7,89.1,90.3,103.6,105.0,0.478,0.472,15.9,14.2,32.2,30.3,0.274,0.254,False
1994,HOU,PHO,7,104.4,99.4,109.6,104.3,0.528,0.465,12.3,11.2,21.5,27.4,0.173,0.224,True
1994,UTA,DEN,7,97.1,94.4,107.0,104.0,0.443,0.447,10.3,14.7,30.9,31.9,0.28,0.358,False
1995,IND,NYK,7,93.3,94.7,106.0,107.6,0.47,0.514,17.2,14.7,33.1,27.2,0.363,0.29,False
1995,ORL,CHI,6,100.7,99.8,112.8,111.8,0.507,0.486,14.4,11.8,34.9,32.5,0.329,0.248,False
1995,HOU,PHO,7,109.1,108.7,115.2,114.8,0.531,0.505,10.8,11.8,22.9,31.1,0.249,0.286,True
1995,SAS,LAL,6,94.7,88.8,103.2,96.8,0.449,0.432,15.4,12.8,34.0,28.3,0.264,0.22,False
1996,CHI,NYK,5,93.8,87.6,104.4,97.5,0.441,0.472,12.9,19.1,37.0,23.9,0.224,0.297,True
1996,ORL,ATL,5,107.0,97.4,122.8,111.8,0.556,0.512,11.2,12.3,39.9,27.2,0.199,0.271,False
1996,SEA,HOU,4,110.5,98.8,115.2,102.9,0.577,0.476,14.8,14.4,25.5,24.7,0.228,0.227,False
1996,UTA,SAS,6,95.5,83.8,113.2,99.4,0.527,0.46,14.1,16.0,32.6,28.3,0.181,0.314,False
1997,CHI,ATL,5,98.2,90.4,113.7,104.7,0.495,0.475,11.5,16.0,39.4,29.4,0.162,0.298,True
1997,MIA,NYK,7,86.9,85.6,98.4,96.9,0.466,0.45,16.3,16.1,24.3,25.6,0.287,0.265,False
1997,HOU,SEA,7,100.9,99.6,112.4,110.9,0.5,0.477,15.4,12.6,36.0,32.3,0.261,0.291,False
1997,UTA,LAL,5,97.6,94.0,110.1,106.1,0.458,0.469,13.2,13.5,31.2,27.5,0.399,0.329,False
1998,CHI,CHH,5,89.8,80.2,107.4,95.9,0.469,0.454,11.9,15.2,32.3,25.4,0.232,0.169,True
1998,IND,NYK,5,94.2,87.6,105.4,98.0,0.479,0.479,14.3,17.2,24.9,25.5,0.346,0.195,False
1998,LAL,SEA,5,105.0,94.4,123.9,111.4,0.572,0.483,13.8,11.4,40.5,33.8,0.263,0.215,False
1998,UTA,SAS,5,85.0,84.8,101.0,100.8,0.447,0.454,10.9,14.8,24.2,29.7,0.224,0.299,False
1999,IND,PHI,4,91.3,86.0,107.6,101.4,0.48,0.422,14.7,9.9,33.8,33.5,0.274,0.182,False
1999,NYK,ATL,4,86.5,76.5,99.7,88.2,0.473,0.339,15.3,13.2,26.5,30.1,0.244,0.278,False
1999,POR,UTA,6,84.7,84.0,99.7,98.9,0.424,0.442,12.1,14.9,24.2,24.7,0.376,0.324,False
1999,SAS,LAL,4,96.8,88.8,105.9,97.2,0.502,0.437,16.6,14.0,25.2,29.1,0.374,0.254,True
2000,IND,PHI,6,98.3,94.3,110.1,105.6,0.508,0.443,11.8,11.8,23.8,32.0,0.23,0.294,False
2000,NYK,MIA,7,81.1,80.3,97.1,96.1,0.43,0.426,11.7,12.9,20.7,26.8,0.265,0.224,False
2000,LAL,PHO,5,98.4,90.8,109.1,100.7,0.471,0.447,11.7,14.1,35.0,31.4,0.314,0.227,True
2000,POR,UTA,5,93.2,82.2,108.0,95.2,0.485,0.439,13.9,14.3,27.0,24.6,0.325,0.257,False
