Season,Team,Opponent,Games played,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference
1984,BOS,NYK,7,True,8.2,8.0,1.4,-1.8,3.7,-0.011,57.143,73.894,77.456,0.978
1984,MIL,NJN,6,False,1.9,1.9,6.6,6.1,-2.9,0.033,66.667,56.753,57.99,6.868
1984,LAL,DAL,5,False,14.5,14.4,11.6,0.9,2.7,-0.032,80.0,85.43,89.071,9.349
1984,PHO,UTA,6,False,2.7,2.7,-0.6,-2.4,1.5,-0.07,66.667,59.073,60.714,-1.444
1985,BOS,DET,6,False,7.7,7.8,4.1,2.2,1.4,0.106,66.667,71.725,75.104,6.197
1985,PHI,MIL,4,False,9.9,10.0,2.4,-3.7,0.6,0.03,100.0,77.547,81.31,2.364
1985,DEN,UTA,5,False,6.5,7.2,1.4,-0.5,9.3,-0.065,80.0,69.534,72.688,0.436
1985,LAL,POR,5,True,10.2,11.0,7.0,1.6,4.4,0.076,80.0,77.906,81.68,7.459
1986,BOS,ATL,5,True,9.8,9.6,4.1,-1.3,0.5,0.045,80.0,77.71,81.478,4.616
1986,MIL,PHI,7,False,-0.8,-0.7,2.6,0.4,-1.3,-0.112,57.143,47.815,47.409,0.251
1986,HOU,DEN,6,False,8.3,8.8,3.9,1.0,7.5,-0.001,66.667,74.032,77.603,2.658
1986,LAL,DAL,6,False,5.1,5.0,2.8,-0.3,0.6,-0.004,66.667,64.593,67.11,2.778
1987,BOS,MIL,7,False,0.3,0.3,3.4,3.1,5.7,0.008,57.143,50.86,51.02,3.076
1987,DET,ATL,5,False,1.3,1.2,-1.6,-0.4,-1.0,0.063,80.0,54.066,54.819,-0.091
1987,LAL,GSW,5,True,10.5,10.6,7.3,5.0,8.8,0.153,80.0,77.866,81.639,8.312
1987,SEA,HOU,6,False,0.4,0.4,-2.7,-4.9,2.0,-0.116,66.667,51.294,51.534,-4.319
1988,BOS,ATL,7,False,-1.7,-1.6,3.2,5.2,-1.1,0.092,57.143,44.814,43.857,4.349
1988,DET,CHI,5,False,10.6,9.8,-0.3,-4.4,7.4,0.029,80.0,81.383,85.192,0.328
1988,DAL,DEN,6,False,4.9,4.8,4.5,4.4,2.9,0.117,66.667,64.74,67.278,5.564
1988,LAL,UTA,7,True,0.9,0.9,0.8,0.0,8.0,-0.048,57.143,53.099,53.675,-0.06
1989,CHI,NYK,6,False,4.4,4.2,3.2,0.7,-0.4,0.061,66.667,63.193,65.501,4.377
1989,DET,MIL,4,True,14.0,11.8,5.8,1.8,12.8,0.014,100.0,84.965,88.638,5.074
1989,LAL,SEA,4,False,10.8,10.0,4.1,0.7,-2.8,0.221,100.0,79.481,83.29,8.606
1989,PHO,GSW,5,False,15.1,15.8,4.5,0.7,13.9,0.029,80.0,87.092,90.59,4.703
1990,CHI,PHI,5,False,8.3,7.6,2.7,-4.5,1.6,-0.092,80.0,73.514,77.047,0.732
1990,DET,NYK,5,True,12.6,11.4,6.8,-0.8,4.3,-0.07,80.0,83.593,87.341,4.125
1990,PHO,LAL,5,False,1.7,1.6,1.4,-1.1,-1.1,0.015,80.0,55.162,56.115,0.923
1990,POR,SAS,7,False,-2.2,-2.3,-3.3,0.8,-1.1,0.137,57.143,42.897,41.598,-0.149
1991,CHI,PHI,5,True,10.2,8.8,5.0,-2.8,8.5,-0.164,80.0,77.596,81.36,0.982
1991,DET,BOS,6,False,-2.0,-1.8,-5.0,-2.4,8.2,-0.022,66.667,43.917,42.799,-5.182
1991,LAL,GSW,5,False,6.5,6.6,0.7,2.3,13.3,0.13,80.0,68.374,71.394,2.416
1991,POR,UTA,5,False,5.5,5.2,3.1,-0.1,1.7,0.002,80.0,66.43,69.202,1.245
1992,CHI,NYK,7,True,4.7,3.8,2.0,-1.8,-5.2,0.024,57.143,64.202,66.662,1.684
1992,CLE,BOS,7,False,3.3,3.0,2.6,1.0,-4.3,0.105,57.143,59.789,61.552,4.651
1992,POR,PHO,5,False,3.0,3.2,2.3,-0.2,5.5,-0.017,80.0,58.894,60.504,0.709
1992,UTA,SEA,5,False,5.7,5.0,0.7,-1.1,0.4,0.079,80.0,66.831,69.656,2.433
1993,CHI,CLE,4,True,10.0,8.5,1.6,-3.9,7.4,-0.009,100.0,77.822,81.594,0.966
1993,NYK,CHH,5,False,4.4,4.4,2.8,1.0,2.2,-0.024,80.0,64.569,67.082,2.615
1993,PHO,SAS,6,False,0.0,0.0,-0.3,-0.6,-9.2,0.083,66.667,50.0,50.0,1.183
1993,SEA,HOU,7,False,1.0,0.8,-4.7,-4.4,5.9,-0.031,57.143,52.816,53.339,-5.141
1994,IND,ATL,6,False,6.0,5.1,4.1,3.6,6.1,0.027,66.667,69.183,72.297,4.143
1994,NYK,CHI,7,False,-1.4,-1.2,0.6,1.7,1.9,0.02,57.143,45.361,44.504,0.519
1994,HOU,PHO,7,True,5.3,5.0,6.3,1.1,-5.9,-0.051,57.143,66.433,69.206,4.785
1994,UTA,DEN,7,False,3.0,2.7,-0.4,-4.4,-1.0,-0.078,57.143,59.683,61.427,-1.119
1995,IND,NYK,7,False,-1.6,-1.4,-4.4,2.5,5.9,0.073,57.143,44.839,43.887,-1.174
1995,ORL,CHI,6,False,1.0,0.9,2.1,2.6,2.4,0.081,66.667,53.118,53.697,2.455
1995,HOU,PHO,7,True,0.4,0.4,2.6,-1.0,-8.2,-0.037,57.143,51.277,51.515,1.406
1995,SAS,LAL,6,False,6.4,5.9,1.7,2.6,5.7,0.044,66.667,70.988,74.296,2.921
1996,CHI,NYK,5,True,6.9,6.2,-3.1,-6.2,13.1,-0.073,80.0,72.136,75.553,-3.189
1996,ORL,ATL,5,False,11.0,9.6,4.4,-1.1,12.7,-0.072,80.0,78.711,82.506,1.201
1996,SEA,HOU,4,False,12.3,11.7,10.1,0.4,0.8,0.001,100.0,82.589,86.373,8.664
1996,UTA,SAS,6,False,13.8,11.7,6.7,-1.9,4.3,-0.133,66.667,86.032,89.627,4.572
1997,CHI,ATL,5,True,9.0,7.8,2.0,-4.5,10.0,-0.136,80.0,75.973,79.666,-0.995
1997,MIA,NYK,7,False,1.5,1.3,1.6,0.2,-1.3,0.022,57.143,55.222,56.186,0.461
1997,HOU,SEA,7,False,1.5,1.3,2.3,2.8,3.7,-0.03,57.143,54.497,55.329,0.955
1997,UTA,LAL,5,False,4.0,3.6,-1.1,-0.3,3.7,0.07,80.0,62.78,65.024,0.695
1998,CHI,CHH,5,True,11.5,9.6,1.5,-3.3,6.9,0.063,80.0,82.817,86.594,2.472
1998,IND,NYK,5,False,7.4,6.6,0.0,-2.9,-0.6,0.151,80.0,73.31,76.827,3.048
1998,LAL,SEA,5,False,12.5,10.6,8.9,2.4,6.7,0.048,80.0,81.462,85.27,7.754
1998,UTA,SAS,5,False,0.2,0.2,-0.7,-3.9,-5.5,-0.075,80.0,50.819,50.972,-1.86
1999,IND,PHI,4,False,6.2,5.3,5.8,4.8,0.3,0.092,100.0,69.675,72.845,7.103
1999,NYK,ATL,4,False,11.5,10.0,13.4,2.1,-3.6,-0.034,100.0,84.669,88.361,10.502
1999,POR,UTA,6,False,0.8,0.7,-1.8,-2.8,-0.5,0.052,66.667,52.883,53.418,-0.415
1999,SAS,LAL,4,True,8.7,8.0,6.5,2.6,-3.9,0.12,100.0,76.85,80.585,8.522
