Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Actual Wins (%),Team TS%,Opp TS%
1984,BOS,NYK,7,111.0,103.0,113.9,105.7,49.8,48.4,14.2,16.0,38.7,35.0,28.5,29.6,True,57.143,54.935,53.9574
1984,MIL,NJN,6,98.2,96.3,102.8,100.9,47.1,40.5,18.3,12.2,32.6,35.5,37.3,34.0,False,66.667,54.0129,47.1452
1984,LAL,DAL,5,120.6,106.2,121.9,107.4,57.0,45.4,12.8,11.9,37.8,35.1,20.0,23.2,False,80.0,59.755,50.4063
1984,PHO,UTA,6,103.7,101.0,107.0,104.3,46.2,46.8,12.9,15.3,33.9,32.4,23.0,30.0,False,66.667,51.2187,52.6627
1985,BOS,DET,6,120.5,112.7,118.1,110.4,51.9,47.8,13.6,11.4,37.1,35.7,30.2,19.6,False,66.667,57.8882,51.6914
1985,PHI,MIL,4,117.3,107.3,115.7,105.8,52.1,49.7,14.0,17.7,35.9,35.3,29.0,26.0,False,100.0,57.184,54.8201
1985,DEN,UTA,5,125.0,117.8,113.2,106.7,50.4,49.0,13.7,14.2,36.2,26.9,24.9,31.4,False,80.0,55.2042,54.7683
1985,LAL,POR,5,127.0,116.0,117.9,107.7,53.0,46.0,14.5,12.9,39.2,34.8,34.2,26.6,True,80.0,58.7354,51.2766
1986,BOS,ATL,5,111.8,102.2,114.2,104.4,52.4,48.3,12.1,13.4,29.9,29.4,25.1,20.6,True,80.0,56.6523,52.0367
1986,MIL,PHI,7,111.0,111.7,111.2,112.0,52.6,50.0,15.3,14.9,33.5,34.8,27.5,38.7,False,57.143,56.6426,56.3921
1986,HOU,DEN,6,121.3,112.5,113.2,104.9,49.5,45.6,12.4,11.4,37.1,29.6,24.0,24.1,False,66.667,53.5294,50.8712
1986,LAL,DAL,6,118.2,113.2,119.7,114.6,54.7,51.9,11.0,11.3,31.7,31.1,21.6,22.0,False,66.667,58.3174,55.5392
1987,BOS,MIL,7,121.4,121.1,117.3,117.0,52.3,48.9,12.6,9.5,33.1,27.4,32.8,32.0,False,57.143,58.4144,55.338
1987,DET,ATL,5,103.0,101.8,113.1,111.8,45.7,47.3,13.3,13.7,38.9,39.9,36.1,29.8,False,80.0,53.2906,53.3812
1987,LAL,GSW,5,122.6,112.0,121.7,111.2,55.9,48.6,16.1,11.1,41.9,33.1,34.9,19.6,True,80.0,61.0509,52.7386
1987,SEA,HOU,6,107.7,107.3,108.5,108.1,45.8,48.5,10.6,15.5,35.2,33.2,21.8,33.4,False,66.667,50.2646,54.5837
1988,BOS,ATL,7,106.1,107.7,114.8,116.5,53.3,50.1,14.9,9.7,30.4,31.5,32.8,23.6,False,57.143,59.2353,54.8859
1988,DET,CHI,5,97.4,87.6,105.1,94.5,44.4,44.7,11.8,16.2,34.2,26.8,23.5,20.6,False,80.0,49.4838,49.156
1988,DAL,DEN,6,112.3,107.5,113.9,109.0,51.2,46.7,13.9,9.5,35.0,32.1,29.3,17.6,False,66.667,56.1667,50.6025
1988,LAL,UTA,7,101.3,100.4,111.1,110.2,49.1,48.3,12.7,12.7,37.9,29.9,21.4,26.2,True,57.143,53.3661,53.4259
1989,CHI,NYK,6,110.2,106.0,115.8,111.4,53.4,50.2,15.0,14.3,34.1,34.5,31.9,25.8,False,66.667,58.8623,54.4856
1989,DET,MIL,4,100.8,89.0,119.7,105.7,51.3,45.5,10.9,9.1,35.9,23.1,27.8,26.4,True,100.0,56.2409,51.1671
1989,LAL,SEA,4,107.8,97.8,117.0,106.2,49.4,45.3,13.5,12.8,37.5,40.3,40.8,18.7,False,100.0,57.1315,48.5256
1989,PHO,GSW,5,123.2,107.4,117.8,102.7,49.1,44.6,13.2,12.5,44.0,30.1,24.8,21.9,False,80.0,54.4477,49.7443
1990,CHI,PHI,5,107.4,99.8,116.7,108.4,53.0,50.3,11.2,15.7,32.0,30.4,21.9,31.1,False,80.0,56.5787,55.8465
1990,DET,NYK,5,103.2,91.8,114.5,101.9,52.0,45.2,12.3,13.1,33.7,29.4,18.5,25.5,True,80.0,54.9123,50.7878
1990,PHO,LAL,5,108.2,106.6,113.6,111.9,49.5,48.1,12.2,13.3,33.2,34.3,30.7,29.2,False,80.0,55.1996,54.277
1990,POR,SAS,7,110.7,113.0,107.2,109.4,46.2,49.5,14.5,13.7,35.1,36.2,35.0,21.3,False,57.143,52.8044,52.9536
1991,CHI,PHI,5,103.0,94.2,118.9,108.7,52.3,47.3,9.3,12.1,34.4,25.9,17.8,34.2,True,80.0,55.2196,54.2377
1991,DET,BOS,6,101.5,103.3,110.8,112.8,43.6,48.6,6.9,9.3,34.9,26.7,25.6,27.8,False,66.667,48.7949,53.9769
