Season,Team,Opponent,Games played,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,eFG%,Opp eFG%,TOV%,Opp TOV%,ORB%,Opp ORB%,FT/FGA,Opp FT/FGA,Champion,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Actual Wins (%),Pythagorean Wins (13.91) (%),Pythagorean Wins (16.5) (%),TS% Difference,Team TS%,Opp TS%
1984,BOS,NYK,7,111.0,103.0,113.9,105.7,0.498,0.484,14.2,16.0,38.7,35.0,0.285,0.296,True,8.2,8.0,1.4,-1.8,3.7,-0.011,57.143,73.894,77.456,0.978,54.935,53.9574
1984,MIL,NJN,6,98.2,96.3,102.8,100.9,0.471,0.405,18.3,12.2,32.6,35.5,0.373,0.34,False,1.9,1.9,6.6,6.1,-2.9,0.033,66.667,56.753,57.99,6.868,54.0129,47.1452
1984,LAL,DAL,5,120.6,106.2,121.9,107.4,0.57,0.454,12.8,11.9,37.8,35.1,0.2,0.232,False,14.5,14.4,11.6,0.9,2.7,-0.032,80.0,85.43,89.071,9.349,59.755,50.4063
1984,PHO,UTA,6,103.7,101.0,107.0,104.3,0.462,0.468,12.9,15.3,33.9,32.4,0.23,0.3,False,2.7,2.7,-0.6,-2.4,1.5,-0.07,66.667,59.073,60.714,-1.444,51.2187,52.6627
1985,BOS,DET,6,120.5,112.7,118.1,110.4,0.519,0.478,13.6,11.4,37.1,35.7,0.302,0.196,False,7.7,7.8,4.1,2.2,1.4,0.106,66.667,71.725,75.104,6.197,57.8882,51.6914
1985,PHI,MIL,4,117.3,107.3,115.7,105.8,0.521,0.497,14.0,17.7,35.9,35.3,0.29,0.26,False,9.9,10.0,2.4,-3.7,0.6,0.03,100.0,77.547,81.31,2.364,57.184,54.8201
1985,DEN,UTA,5,125.0,117.8,113.2,106.7,0.504,0.49,13.7,14.2,36.2,26.9,0.249,0.314,False,6.5,7.2,1.4,-0.5,9.3,-0.065,80.0,69.534,72.688,0.436,55.2042,54.7683
1985,LAL,POR,5,127.0,116.0,117.9,107.7,0.53,0.46,14.5,12.9,39.2,34.8,0.342,0.266,True,10.2,11.0,7.0,1.6,4.4,0.076,80.0,77.906,81.68,7.459,58.7354,51.2766
1986,BOS,ATL,5,111.8,102.2,114.2,104.4,0.524,0.483,12.1,13.4,29.9,29.4,0.251,0.206,True,9.8,9.6,4.1,-1.3,0.5,0.045,80.0,77.71,81.478,4.616,56.6523,52.0367
1986,MIL,PHI,7,111.0,111.7,111.2,112.0,0.526,0.5,15.3,14.9,33.5,34.8,0.275,0.387,False,-0.8,-0.7,2.6,0.4,-1.3,-0.112,57.143,47.815,47.409,0.251,56.6426,56.3921
1986,HOU,DEN,6,121.3,112.5,113.2,104.9,0.495,0.456,12.4,11.4,37.1,29.6,0.24,0.241,False,8.3,8.8,3.9,1.0,7.5,-0.001,66.667,74.032,77.603,2.658,53.5294,50.8712
1986,LAL,DAL,6,118.2,113.2,119.7,114.6,0.547,0.519,11.0,11.3,31.7,31.1,0.216,0.22,False,5.1,5.0,2.8,-0.3,0.6,-0.004,66.667,64.593,67.11,2.778,58.3174,55.5392
1987,BOS,MIL,7,121.4,121.1,117.3,117.0,0.523,0.489,12.6,9.5,33.1,27.4,0.328,0.32,False,0.3,0.3,3.4,3.1,5.7,0.008,57.143,50.86,51.02,3.076,58.4144,55.338
1987,DET,ATL,5,103.0,101.8,113.1,111.8,0.457,0.473,13.3,13.7,38.9,39.9,0.361,0.298,False,1.3,1.2,-1.6,-0.4,-1.0,0.063,80.0,54.066,54.819,-0.091,53.2906,53.3812
1987,LAL,GSW,5,122.6,112.0,121.7,111.2,0.559,0.486,16.1,11.1,41.9,33.1,0.349,0.196,True,10.5,10.6,7.3,5.0,8.8,0.153,80.0,77.866,81.639,8.312,61.0509,52.7386
1987,SEA,HOU,6,107.7,107.3,108.5,108.1,0.458,0.485,10.6,15.5,35.2,33.2,0.218,0.334,False,0.4,0.4,-2.7,-4.9,2.0,-0.116,66.667,51.294,51.534,-4.319,50.2646,54.5837
1988,BOS,ATL,7,106.1,107.7,114.8,116.5,0.533,0.501,14.9,9.7,30.4,31.5,0.328,0.236,False,-1.7,-1.6,3.2,5.2,-1.1,0.092,57.143,44.814,43.857,4.349,59.2353,54.8859
1988,DET,CHI,5,97.4,87.6,105.1,94.5,0.444,0.447,11.8,16.2,34.2,26.8,0.235,0.206,False,10.6,9.8,-0.3,-4.4,7.4,0.029,80.0,81.383,85.192,0.328,49.4838,49.156
1988,DAL,DEN,6,112.3,107.5,113.9,109.0,0.512,0.467,13.9,9.5,35.0,32.1,0.293,0.176,False,4.9,4.8,4.5,4.4,2.9,0.117,66.667,64.74,67.278,5.564,56.1667,50.6025
1988,LAL,UTA,7,101.3,100.4,111.1,110.2,0.491,0.483,12.7,12.7,37.9,29.9,0.214,0.262,True,0.9,0.9,0.8,0.0,8.0,-0.048,57.143,53.099,53.675,-0.06,53.3661,53.4259
1989,CHI,NYK,6,110.2,106.0,115.8,111.4,0.534,0.502,15.0,14.3,34.1,34.5,0.319,0.258,False,4.4,4.2,3.2,0.7,-0.4,0.061,66.667,63.193,65.501,4.377,58.8623,54.4856
1989,DET,MIL,4,100.8,89.0,119.7,105.7,0.513,0.455,10.9,9.1,35.9,23.1,0.278,0.264,True,14.0,11.8,5.8,1.8,12.8,0.014,100.0,84.965,88.638,5.074,56.2409,51.1671
1989,LAL,SEA,4,107.8,97.8,117.0,106.2,0.494,0.453,13.5,12.8,37.5,40.3,0.408,0.187,False,10.8,10.0,4.1,0.7,-2.8,0.221,100.0,79.481,83.29,8.606,57.1315,48.5256
1989,PHO,GSW,5,123.2,107.4,117.8,102.7,0.491,0.446,13.2,12.5,44.0,30.1,0.248,0.219,False,15.1,15.8,4.5,0.7,13.9,0.029,80.0,87.092,90.59,4.703,54.4477,49.7443
1990,CHI,PHI,5,107.4,99.8,116.7,108.4,0.53,0.503,11.2,15.7,32.0,30.4,0.219,0.311,False,8.3,7.6,2.7,-4.5,1.6,-0.092,80.0,73.514,77.047,0.732,56.5787,55.8465
1990,DET,NYK,5,103.2,91.8,114.5,101.9,0.52,0.452,12.3,13.1,33.7,29.4,0.185,0.255,True,12.6,11.4,6.8,-0.8,4.3,-0.07,80.0,83.593,87.341,4.125,54.9123,50.7878
1990,PHO,LAL,5,108.2,106.6,113.6,111.9,0.495,0.481,12.2,13.3,33.2,34.3,0.307,0.292,False,1.7,1.6,1.4,-1.1,-1.1,0.015,80.0,55.162,56.115,0.923,55.1996,54.277
1990,POR,SAS,7,110.7,113.0,107.2,109.4,0.462,0.495,14.5,13.7,35.1,36.2,0.35,0.213,False,-2.2,-2.3,-3.3,0.8,-1.1,0.137,57.143,42.897,41.598,-0.149,52.8044,52.9536
1991,CHI,PHI,5,103.0,94.2,118.9,108.7,0.523,0.473,9.3,12.1,34.4,25.9,0.178,0.342,True,10.2,8.8,5.0,-2.8,8.5,-0.164,80.0,77.596,81.36,0.982,55.2196,54.2377
1991,DET,BOS,6,101.5,103.3,110.8,112.8,0.436,0.486,6.9,9.3,34.9,26.7,0.256,0.278,False,-2.0,-1.8,-5.0,-2.4,8.2,-0.022,66.667,43.917,42.799,-5.182,48.7949,53.9769
1991,LAL,GSW,5,122.4,115.8,120.7,114.2,0.533,0.526,12.2,9.9,34.6,21.3,0.368,0.238,False,6.5,6.6,0.7,2.3,13.3,0.13,80.0,68.374,71.394,2.416,59.1144,56.698
1991,POR,UTA,5,108.6,103.4,114.9,109.4,0.487,0.456,11.3,11.4,30.9,29.2,0.341,0.339,False,5.5,5.2,3.1,-0.1,1.7,0.002,80.0,66.43,69.202,1.245,54.7688,53.5241
1992,CHI,NYK,7,92.4,88.6,111.2,106.5,0.485,0.465,11.5,13.3,31.1,36.3,0.283,0.259,True,4.7,3.8,2.0,-1.8,-5.2,0.024,57.143,64.202,66.662,1.684,53.1723,51.4882
1992,CLE,BOS,7,106.7,103.7,117.2,113.9,0.535,0.509,11.3,10.3,26.6,30.9,0.271,0.166,False,3.3,3.0,2.6,1.0,-4.3,0.105,57.143,59.789,61.552,4.651,58.708,54.0565
1992,POR,PHO,5,125.4,122.2,117.5,114.5,0.52,0.497,12.0,12.2,33.6,28.1,0.327,0.344,False,3.0,3.2,2.3,-0.2,5.5,-0.017,80.0,58.894,60.504,0.709,57.2206,56.5113
1992,UTA,SEA,5,101.8,96.8,117.1,111.4,0.503,0.496,12.4,13.5,32.9,32.5,0.334,0.255,False,5.7,5.0,0.7,-1.1,0.4,0.079,80.0,66.831,69.656,2.433,57.0065,54.5733
1993,CHI,CLE,4,98.5,90.0,116.4,106.4,0.513,0.497,10.5,14.4,35.1,27.7,0.21,0.219,True,10.0,8.5,1.6,-3.9,7.4,-0.009,100.0,77.822,81.594,0.966,54.9359,53.9698
1993,NYK,CHH,5,104.2,99.8,104.9,100.5,0.48,0.452,16.1,15.1,35.7,33.5,0.214,0.238,False,4.4,4.4,2.8,1.0,2.2,-0.024,80.0,64.569,67.082,2.615,52.4356,49.8203
1993,PHO,SAS,6,102.8,102.8,109.9,109.9,0.494,0.497,11.3,11.9,22.6,31.8,0.303,0.22,False,0.0,0.0,-0.3,-0.6,-9.2,0.083,66.667,50.0,50.0,1.183,54.8464,53.6634
1993,SEA,HOU,7,99.1,98.3,111.0,110.0,0.474,0.521,11.6,16.0,37.6,31.7,0.196,0.227,False,1.0,0.8,-4.7,-4.4,5.9,-0.031,57.143,52.816,53.339,-5.141,51.2343,56.375
1994,IND,ATL,6,90.3,85.2,104.1,98.1,0.48,0.439,17.1,13.5,37.1,31.0,0.233,0.206,False,6.0,5.1,4.1,3.6,6.1,0.027,66.667,69.183,72.297,4.143,52.1154,47.9722
1994,NYK,CHI,7,89.1,90.3,103.6,105.0,0.478,0.472,15.9,14.2,32.2,30.3,0.274,0.254,False,-1.4,-1.2,0.6,1.7,1.9,0.02,57.143,45.361,44.504,0.519,52.7883,52.2694
1994,HOU,PHO,7,104.4,99.4,109.6,104.3,0.528,0.465,12.3,11.2,21.5,27.4,0.173,0.224,True,5.3,5.0,6.3,1.1,-5.9,-0.051,57.143,66.433,69.206,4.785,55.6655,50.8802
1994,UTA,DEN,7,97.1,94.4,107.0,104.0,0.443,0.447,10.3,14.7,30.9,31.9,0.28,0.358,False,3.0,2.7,-0.4,-4.4,-1.0,-0.078,57.143,59.683,61.427,-1.119,50.5051,51.6245
1995,IND,NYK,7,93.3,94.7,106.0,107.6,0.47,0.514,17.2,14.7,33.1,27.2,0.363,0.29,False,-1.6,-1.4,-4.4,2.5,5.9,0.073,57.143,44.839,43.887,-1.174,54.2575,55.4311
1995,ORL,CHI,6,100.7,99.8,112.8,111.8,0.507,0.486,14.4,11.8,34.9,32.5,0.329,0.248,False,1.0,0.9,2.1,2.6,2.4,0.081,66.667,53.118,53.697,2.455,55.6785,53.2236
1995,HOU,PHO,7,109.1,108.7,115.2,114.8,0.531,0.505,10.8,11.8,22.9,31.1,0.249,0.286,True,0.4,0.4,2.6,-1.0,-8.2,-0.037,57.143,51.277,51.515,1.406,57.2302,55.8245
1995,SAS,LAL,6,94.7,88.8,103.2,96.8,0.449,0.432,15.4,12.8,34.0,28.3,0.264,0.22,False,6.4,5.9,1.7,2.6,5.7,0.044,66.667,70.988,74.296,2.921,50.5302,47.6097
1996,CHI,NYK,5,93.8,87.6,104.4,97.5,0.441,0.472,12.9,19.1,37.0,23.9,0.224,0.297,True,6.9,6.2,-3.1,-6.2,13.1,-0.073,80.0,72.136,75.553,-3.189,49.41,52.5987
1996,ORL,ATL,5,107.0,97.4,122.8,111.8,0.556,0.512,11.2,12.3,39.9,27.2,0.199,0.271,False,11.0,9.6,4.4,-1.1,12.7,-0.072,80.0,78.711,82.506,1.201,57.0703,55.8691
1996,SEA,HOU,4,110.5,98.8,115.2,102.9,0.577,0.476,14.8,14.4,25.5,24.7,0.228,0.227,False,12.3,11.7,10.1,0.4,0.8,0.001,100.0,82.589,86.373,8.664,60.7143,52.0504
1996,UTA,SAS,6,95.5,83.8,113.2,99.4,0.527,0.46,14.1,16.0,32.6,28.3,0.181,0.314,False,13.8,11.7,6.7,-1.9,4.3,-0.133,66.667,86.032,89.627,4.572,55.9614,51.3895
1997,CHI,ATL,5,98.2,90.4,113.7,104.7,0.495,0.475,11.5,16.0,39.4,29.4,0.162,0.298,True,9.0,7.8,2.0,-4.5,10.0,-0.136,80.0,75.973,79.666,-0.995,52.1364,53.1315
1997,MIA,NYK,7,86.9,85.6,98.4,96.9,0.466,0.45,16.3,16.1,24.3,25.6,0.287,0.265,False,1.5,1.3,1.6,0.2,-1.3,0.022,57.143,55.222,56.186,0.461,51.3271,50.8662
1997,HOU,SEA,7,100.9,99.6,112.4,110.9,0.5,0.477,15.4,12.6,36.0,32.3,0.261,0.291,False,1.5,1.3,2.3,2.8,3.7,-0.03,57.143,54.497,55.329,0.955,54.7355,53.7809
1997,UTA,LAL,5,97.6,94.0,110.1,106.1,0.458,0.469,13.2,13.5,31.2,27.5,0.399,0.329,False,4.0,3.6,-1.1,-0.3,3.7,0.07,80.0,62.78,65.024,0.695,53.8822,53.1867
1998,CHI,CHH,5,89.8,80.2,107.4,95.9,0.469,0.454,11.9,15.2,32.3,25.4,0.232,0.169,True,11.5,9.6,1.5,-3.3,6.9,0.063,80.0,82.817,86.594,2.472,51.6045,49.1325
1998,IND,NYK,5,94.2,87.6,105.4,98.0,0.479,0.479,14.3,17.2,24.9,25.5,0.346,0.195,False,7.4,6.6,0.0,-2.9,-0.6,0.151,80.0,73.31,76.827,3.048,54.6454,51.5974
1998,LAL,SEA,5,105.0,94.4,123.9,111.4,0.572,0.483,13.8,11.4,40.5,33.8,0.263,0.215,False,12.5,10.6,8.9,2.4,6.7,0.048,80.0,81.462,85.27,7.754,59.9753,52.2216
1998,UTA,SAS,5,85.0,84.8,101.0,100.8,0.447,0.454,10.9,14.8,24.2,29.7,0.224,0.299,False,0.2,0.2,-0.7,-3.9,-5.5,-0.075,80.0,50.819,50.972,-1.86,49.2491,51.109
1999,IND,PHI,4,91.3,86.0,107.6,101.4,0.48,0.422,14.7,9.9,33.8,33.5,0.274,0.182,False,6.2,5.3,5.8,4.8,0.3,0.092,100.0,69.675,72.845,7.103,53.1265,46.0238
1999,NYK,ATL,4,86.5,76.5,99.7,88.2,0.473,0.339,15.3,13.2,26.5,30.1,0.244,0.278,False,11.5,10.0,13.4,2.1,-3.6,-0.034,100.0,84.669,88.361,10.502,51.9832,41.4814
1999,POR,UTA,6,84.7,84.0,99.7,98.9,0.424,0.442,12.1,14.9,24.2,24.7,0.376,0.324,False,0.8,0.7,-1.8,-2.8,-0.5,0.052,66.667,52.883,53.418,-0.415,50.1026,50.5172
1999,SAS,LAL,4,96.8,88.8,105.9,97.2,0.502,0.437,16.6,14.0,25.2,29.1,0.374,0.254,True,8.7,8.0,6.5,2.6,-3.9,0.12,100.0,76.85,80.585,8.522,56.5525,48.0301
2000,IND,PHI,6,98.3,94.3,110.1,105.6,0.508,0.443,11.8,11.8,23.8,32.0,0.23,0.294,False,4.5,4.0,6.5,0.0,-8.2,-0.064,66.667,64.058,66.496,5.491,55.5472,50.0566
