Season,Games played,Champion,Average Points scored,Average Points allowed,Offensive Rating,Defensive Rating,Team TS%,eFG%,TOV%,ORB%,FT/FGA,Opp eFG%,Opp TOV%,Opp FT/FGA,Net Rating,Average Points Difference,eFG% Difference,TOV% Difference,ORB% Difference,FT/FGA Difference,Opp ORB%
1984,7,True,0.06,-1.093,2.33,-0.546,0.14,-0.091,-0.624,2.692,1.101,-0.554,0.667,1.862,2.613,2.511,0.362,-1.266,1.319,-0.234,1.19
1984,6,False,-2.24,-2.283,-2.431,-2.572,-0.665,-2.058,2.731,-0.106,5.349,-5.555,-2.292,3.855,0.165,0.148,2.873,4.912,-0.902,-0.22,1.495
1984,5,False,1.785,-0.524,5.761,0.171,4.344,5.154,-1.77,2.279,-3.002,-2.453,-2.526,-1.036,5.062,4.991,5.288,0.846,0.982,-0.24,1.251
1984,6,False,-1.252,-1.448,-0.63,-1.137,-3.102,-2.713,-1.688,0.49,-1.554,-1.567,0.122,2.043,0.476,0.458,-0.604,-1.735,0.578,-0.252,-0.397
1985,6,False,2.059,0.796,2.937,1.802,1.839,1.076,-0.804,1.458,1.605,-1.074,-3.191,-2.132,1.895,1.878,1.469,1.541,0.3,-0.092,1.976
1985,4,False,1.268,-0.893,2.164,-0.649,1.433,1.189,-0.482,1.026,1.223,0.333,2.452,0.527,2.621,2.592,0.721,-2.008,0.035,-0.113,1.724
1985,5,False,3.173,2.391,1.36,-0.17,0.291,0.221,-0.724,1.134,-0.084,-0.185,-0.683,2.771,1.499,1.683,0.281,-0.083,2.913,-0.14,-3.566
1985,5,True,3.667,1.828,2.872,0.363,2.328,1.702,-0.08,2.216,2.88,-2.408,-1.847,0.776,2.719,2.917,2.746,1.18,1.292,-0.1,1.409
1986,5,True,0.008,-2.317,1.971,-0.918,1.474,1.796,-2.36,-1.283,-0.47,-0.602,-1.22,-1.736,2.094,1.968,1.662,-0.716,0.052,-0.233,-1.683
1986,7,False,-0.204,0.441,0.956,1.923,1.468,1.926,0.545,0.31,0.604,0.63,0.005,4.985,-0.586,-0.562,0.968,0.384,-0.55,-0.277,1.291
