Season,Team,Opponent,Team PTS,Team FGA,Team FTA,Team TS%,Opp PTS,Opp FGA,Opp FTA,Opp TS%
1984,BOS,NYK,777.0,606.0,230.0,54.935,721.0,570.0,223.0,53.9574
1984,MIL,NJN,589.0,448.0,221.0,54.0129,578.0,503.0,250.0,47.1452
1984,LAL,DAL,603.0,450.0,124.0,59.755,531.0,466.0,138.0,50.4063
1984,PHO,UTA,622.0,539.0,155.0,51.2187,606.0,490.0,194.0,52.6627
1985,BOS,DET,723.0,540.0,192.0,57.8882,676.0,587.0,152.0,51.6914
1985,PHI,MIL,469.0,352.0,132.0,57.184,429.0,342.0,112.0,54.8201
1985,DEN,UTA,625.0,497.0,157.0,55.2042,589.0,455.0,188.0,54.7683
1985,LAL,POR,635.0,453.0,199.0,58.7354,580.0,489.0,174.0,51.2766
1986,BOS,ATL,559.0,430.0,144.0,56.6523,511.0,436.0,125.0,52.0367
1986,MIL,PHI,777.0,586.0,227.0,56.6426,782.0,564.0,294.0,56.3921
1986,HOU,DEN,728.0,592.0,200.0,53.5294,675.0,586.0,176.0,50.8712
1986,LAL,DAL,709.0,541.0,152.0,58.3174,679.0,540.0,162.0,55.5392
1987,BOS,MIL,850.0,618.0,249.0,58.4144,848.0,654.0,255.0,55.338
1987,DET,ATL,515.0,404.0,180.0,53.2906,509.0,409.0,154.0,53.3812
1987,LAL,GSW,613.0,418.0,191.0,61.0509,560.0,479.0,118.0,52.7386
1987,SEA,HOU,646.0,570.0,165.0,50.2646,644.0,494.0,218.0,54.5837
1988,BOS,ATL,743.0,533.0,214.0,59.2353,754.0,609.0,177.0,54.8859
1988,DET,CHI,487.0,434.0,132.0,49.4838,438.0,398.0,108.0,49.156
1988,DAL,DEN,674.0,512.0,200.0,56.1667,645.0,581.0,128.0,50.6025
1988,LAL,UTA,709.0,593.0,162.0,53.3661,703.0,573.0,193.0,53.4259
1989,CHI,NYK,661.0,477.0,192.0,58.8623,636.0,504.0,181.0,54.4856
1989,DET,MIL,403.0,309.0,112.0,56.2409,356.0,303.0,102.0,51.1671
1989,LAL,SEA,431.0,309.0,155.0,57.1315,391.0,358.0,102.0,48.5256
1989,PHO,GSW,616.0,501.0,147.0,54.4477,537.0,483.0,129.0,49.7443
1990,CHI,PHI,537.0,420.0,124.0,56.5787,499.0,379.0,154.0,55.8465
1990,DET,NYK,516.0,421.0,111.0,54.9123,459.0,396.0,127.0,50.7878
1990,PHO,LAL,541.0,417.0,166.0,55.1996,533.0,425.0,150.0,54.277
1990,POR,SAS,775.0,608.0,286.0,52.8044,791.0,658.0,202.0,52.9536
1991,CHI,PHI,515.0,421.0,103.0,55.2196,471.0,366.0,155.0,54.2377
1991,DET,BOS,609.0,540.0,191.0,48.7949,620.0,496.0,178.0,53.9769
1991,LAL,GSW,612.0,427.0,206.0,59.1144,579.0,449.0,140.0,56.698
1991,POR,UTA,543.0,413.0,188.0,54.7688,517.0,413.0,159.0,53.5241
1992,CHI,NYK,647.0,516.0,210.0,53.1723,620.0,522.0,182.0,51.4882
1992,CLE,BOS,747.0,557.0,180.0,58.708,726.0,613.0,133.0,54.0565
1992,POR,PHO,627.0,459.0,202.0,57.2206,611.0,457.0,190.0,56.5113
1992,UTA,SEA,509.0,380.0,151.0,57.0065,484.0,388.0,126.0,54.5733
1993,CHI,CLE,394.0,319.0,90.0,54.9359,360.0,297.0,83.0,53.9698
1993,NYK,CHH,521.0,444.0,120.0,52.4356,499.0,437.0,145.0,49.8203
1993,PHO,SAS,617.0,478.0,192.0,54.8464,617.0,508.0,152.0,53.6634
1993,SEA,HOU,694.0,606.0,162.0,51.2343,688.0,542.0,155.0,56.375
1994,IND,ATL,542.0,454.0,150.0,52.1154,511.0,471.0,140.0,47.9722
1994,NYK,CHI,624.0,507.0,191.0,52.7883,632.0,528.0,174.0,52.2694
1994,HOU,PHO,731.0,595.0,140.0,55.6655,696.0,603.0,184.0,50.8802
1994,UTA,DEN,680.0,583.0,205.0,50.5051,661.0,528.0,255.0,51.6245
1995,IND,NYK,653.0,501.0,229.0,54.2575,663.0,503.0,216.0,55.4311
1995,ORL,CHI,604.0,450.0,210.0,55.6785,599.0,491.0,163.0,53.2236
1995,HOU,PHO,764.0,583.0,192.0,57.2302,761.0,587.0,215.0,55.8245
1995,SAS,LAL,568.0,489.0,166.0,50.5302,533.0,492.0,154.0,47.6097
1996,CHI,NYK,469.0,424.0,115.0,49.41,438.0,353.0,144.0,52.5987
1996,ORL,ATL,535.0,408.0,138.0,57.0703,487.0,376.0,136.0,55.8691
1996,SEA,HOU,442.0,320.0,100.0,60.7143,395.0,335.0,101.0,52.0504
1996,UTA,SAS,573.0,464.0,109.0,55.9614,503.0,408.0,185.0,51.3895
1997,CHI,ATL,491.0,426.0,102.0,52.1364,452.0,362.0,144.0,53.1315
1997,MIA,NYK,608.0,499.0,212.0,51.3271,599.0,514.0,170.0,50.8662
1997,HOU,SEA,706.0,560.0,193.0,54.7355,697.0,560.0,200.0,53.7809
1997,UTA,LAL,488.0,371.0,186.0,53.8822,470.0,371.0,161.0,53.1867
1998,CHI,CHH,449.0,384.0,116.0,51.6045,401.0,372.0,82.0,49.1325
1998,IND,NYK,471.0,361.0,159.0,54.6454,438.0,380.0,101.0,51.5974
1998,LAL,SEA,525.0,373.0,147.0,59.9753,472.0,400.0,118.0,52.2216
1998,UTA,SAS,425.0,380.0,117.0,49.2491,424.0,351.0,145.0,51.109
1999,IND,PHI,365.0,296.0,108.0,53.1265,344.0,335.0,88.0,46.0238
1999,NYK,ATL,346.0,291.0,95.0,51.9832,306.0,320.0,111.0,41.4814
1999,POR,UTA,508.0,415.0,209.0,50.1026,504.0,417.0,186.0,50.5172
1999,SAS,LAL,387.0,281.0,139.0,56.5525,355.0,315.0,124.0,48.0301
2000,IND,PHI,590.0,473.0,132.0,55.5472,566.0,480.0,194.0,50.0566
2000,NYK,MIA,568.0,505.0,170.0,48.9824,562.0,522.0,169.0,47.1192
2000,LAL,PHO,492.0,392.0,187.0,51.8681,454.0,405.0,131.0,49.0662
2000,POR,UTA,466.0,360.0,157.0,54.3022,411.0,362.0,132.0,48.9193
2001,MIL,CHH,659.0,560.0,156.0,52.4147,655.0,558.0,212.0,50.2856
2001,PHI,TOR,650.0,545.0,182.0,51.9933,645.0,555.0,124.0,52.907
2001,LAL,SAC,426.0,319.0,156.0,54.9479,389.0,347.0,109.0,49.2455
2001,SAS,DAL,511.0,386.0,145.0,56.803,453.0,438.0,113.0,46.4406
2002,BOS,DET,415.0,377.0,94.0,49.5984,397.0,380.0,94.0,47.1094
2002,NJN,CHH,490.0,408.0,155.0,51.449,470.0,400.0,157.0,50.0981
2002,LAL,SAS,450.0,398.0,109.0,50.453,429.0,382.0,132.0,48.7411
2002,SAC,DAL,564.0,440.0,155.0,55.49,534.0,448.0,121.0,53.2679
2003,DET,PHI,538.0,439.0,171.0,52.3102,538.0,457.0,144.0,51.695
2003,NJN,BOS,405.0,322.0,123.0,53.8392,365.0,320.0,93.0,50.5652
2003,DAL,SAC,802.0,661.0,145.0,55.3256,777.0,629.0,209.0,53.8865
2003,SAS,LAL,597.0,473.0,161.0,54.8875,562.0,469.0,151.0,52.4802
2004,DET,NJN,607.0,551.0,190.0,47.8254,583.0,513.0,204.0,48.3609
2004,IND,MIA,527.0,417.0,185.0,52.8692,508.0,445.0,155.0,49.4934
2004,LAL,SAS,528.0,417.0,177.0,53.3463,503.0,474.0,138.0,47.034
2004,MIN,SAC,643.0,554.0,161.0,51.4532,651.0,574.0,177.0,49.9325
2005,DET,IND,516.0,454.0,145.0,49.8262,474.0,453.0,119.0,46.8973
2005,MIA,WAS,414.0,302.0,113.0,58.8536,378.0,331.0,122.0,49.1317
2005,PHO,DAL,705.0,541.0,165.0,57.4478,665.0,559.0,159.0,52.865
2005,SAS,SEA,592.0,436.0,202.0,56.3938,551.0,458.0,154.0,52.4003
2006,DET,CLE,606.0,506.0,187.0,51.5061,566.0,510.0,150.0,49.1319
2006,MIA,NJN,510.0,355.0,174.0,59.088,478.0,383.0,135.0,54.0235
2006,DAL,SAS,727.0,552.0,223.0,55.9128,699.0,514.0,235.0,56.6084
